phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P5_full_matrix,planning_bots5_mid_none,1710773296,planning,none,5,mid,1,0,1200,0.3727,447,22,6019.13,0.0619,6.27743673324585
P5_full_matrix,planning_bots5_mid_none,546258473,planning,none,5,mid,1,0,1200,0.4636,250,21,6249.9,0.0742,5.789271593093872
P5_full_matrix,planning_bots5_mid_none,1671607513,planning,none,5,mid,1,0,1200,0.2636,333,37,4914.13,0.0536,6.917120456695557
P5_full_matrix,planning_bots5_mid_none,167911641,planning,none,5,mid,1,0,1200,0.3182,620,61,4909.34,0.0648,6.278893709182739
P5_full_matrix,planning_bots5_mid_none,2005865563,planning,none,5,mid,1,0,1200,0.3636,274,20,5776.53,0.063,6.244984865188599
P5_full_matrix,planning_bots5_mid_none,1521967319,planning,none,5,mid,1,0,1200,0.4455,359,43,6332.96,0.0703,6.118546724319458
P5_full_matrix,planning_bots5_mid_none,843584266,planning,none,5,mid,1,0,1200,0.4818,597,11,5660.78,0.0851,6.664771556854248
P5_full_matrix,planning_bots5_mid_none,1940008068,planning,none,5,mid,1,0,1200,0.4727,107,22,6149.23,0.0769,5.566293478012085
P5_full_matrix,planning_bots5_mid_none,18772958,planning,none,5,mid,1,0,1200,0.3727,396,50,5928.71,0.0629,6.56740140914917
P5_full_matrix,planning_bots5_mid_none,1322408078,planning,none,5,mid,1,0,1200,0.3273,241,4,5524.04,0.0592,6.149777889251709
P5_full_matrix,planning_bots5_mid_none,584523433,planning,none,5,mid,1,0,1200,0.3,495,20,4950.48,0.0606,6.637279987335205
P5_full_matrix,planning_bots5_mid_none,1721396650,planning,none,5,mid,1,0,1200,0.2545,68,14,5317.02,0.0479,6.751534461975098
P5_full_matrix,planning_bots5_mid_none,914271567,planning,none,5,mid,1,0,1200,0.3818,546,64,5769.41,0.0662,7.089089870452881
P5_full_matrix,planning_bots5_mid_none,1309541162,planning,none,5,mid,1,0,1200,0.3182,208,4,5497.52,0.0579,6.1999852657318115
P5_full_matrix,planning_bots5_mid_none,1358526416,planning,none,5,mid,1,0,1200,0.2545,752,13,4964.36,0.0513,6.299139499664307
